mileage,make,model,gear,offerType,price,hp,year
44615.0,29,153,0,3,34822.0,334.0,2016
94250.0,29,153,0,3,34822.0,334.0,2016
86600.0,29,153,0,3,34822.0,334.0,2016
36409.0,29,153,0,3,35777.0,334.0,2016
8320.0,29,153,0,3,35877.0,334.0,2016
58300.0,18,107,0,3,3.0,258.0,2016
61411.0,29,153,0,3,43888.0,334.0,2016
160.0,1,173,0,3,44449.0,354.0,2016
99989.0,18,107,0,3,9.0,258.0,2016
35800.0,16,115,0,3,9460.0,460.0,2016
65500.0,3,75,0,3,13406.062773722628,635.0,2016
1700.0,21,225,0,3,3299.0,131.0,2016
152612.0,25,70,1,3,3799.0,60.0,2016
4.0,18,69,1,3,4250.0,75.0,2016
98280.0,7,134,1,3,13406.062773722628,73.0,2016
137.0,7,179,1,3,4490.0,73.0,2016
75419.0,21,41,1,3,1.0,136.0,2018
24415.0,9,53,1,3,1.0,1.0,2018
43769.13214285715,11,130,1,3,14450.0,120.0,2018
43769.13214285715,29,152,0,3,145.0,150.0,2018
16900.0,28,221,0,3,1.0,2.0,2018
25587.0,15,78,1,3,19499.0,192.0,2018
3.0,24,39,0,3,19550.0,116.0,2018
14175.0,30,220,0,3,4.0,3.0,2019
43701.0,18,59,0,3,48480.0,286.0,2019
5526.0,18,104,0,3,49290.0,211.0,2019
25.0,9,204,1,0,50247.0,170.0,2019
25531.0,30,220,0,3,51770.0,235.0,2019
16203.0,1,161,0,3,52170.0,367.0,2019
130.0,1,32,0,3,52430.0,204.0,2019
6897.0,1,173,0,3,54450.0,347.0,2019
2.0,1,31,0,0,56950.0,286.0,2019
30225.0,22,135,0,3,5.0,245.0,2019
6752.0,1,29,0,3,60950.0,286.0,2019
17480.0,1,30,0,3,61591.0,286.0,2019
25500.0,1,33,0,3,64888.0,286.0,2019
18319.0,1,165,0,3,66750.0,400.0,2019
15186.0,1,177,0,3,67480.0,435.0,2019
5715.0,1,164,0,3,13406.062773722628,450.0,2019
7146.0,29,199,0,3,77960.0,421.0,2019
9987.0,18,91,0,3,82290.0,435.0,2019
24117.0,22,66,0,3,8.0,340.0,2019
2267.0,18,108,0,3,86885.0,455.0,2019
20683.0,30,218,0,3,33780.0,150.0,2020
16162.0,25,129,0,3,33841.0,190.0,2020
5777.0,17,61,0,0,33870.0,194.0,2020
127.0,29,40,0,3,33908.0,190.0,2020
12851.0,29,152,0,3,33998.0,218.0,2020
9853.0,29,152,0,3,34390.0,218.0,2020
4183.0,29,192,0,3,34420.0,150.0,2020
138.0,30,212,0,3,34480.0,190.0,2020
20238.0,29,184,0,3,34720.0,150.0,2020
50.0,25,144,0,2,34745.0,245.0,2020
14900.0,1,26,0,0,34750.0,204.0,2020
8350.0,-1,8,0,1,34890.0,181.0,2020
3500.0,29,151,0,3,34900.0,156.0,2020
9190.0,29,121,0,3,34920.0,204.0,2020
5681.0,25,129,0,3,34928.0,190.0,2020
9986.0,1,26,0,3,13406.062773722628,150.0,2020
6.0,9,141,0,0,13406.062773722628,165.0,2020
43769.13214285715,24,133,0,2,13406.062773722628,300.0,2020
43769.13214285715,9,132,0,3,13406.062773722628,224.0,2020
3500.0,30,212,0,0,34970.0,163.0,2020
5.0,29,40,0,0,56555.0,200.0,2021
43769.13214285715,1,161,0,0,57880.0,204.0,2021
3.0,18,210,0,0,5.0,237.0,2021
4900.0,-1,18,0,0,58373.0,360.0,2021
3.0,18,209,0,0,5.0,190.0,2021
43769.13214285715,1,161,0,0,63880.0,204.0,2021
15.0,29,195,0,3,64808.0,204.0,2021
1500.0,30,218,0,0,64890.0,408.0,2021
1944.0,29,40,0,0,64900.0,280.0,2021
4900.0,29,198,0,0,6.0,320.0,2021
5.0,30,175,0,0,65880.0,392.0,2021
5.0,29,193,0,0,69555.0,204.0,2021
0.0,30,218,0,0,69880.0,408.0,2021
15.0,29,194,0,3,71705.0,150.0,2021
3.0,1,161,0,0,73450.0,286.0,2021
3.0,1,161,0,0,73850.0,286.0,2021
43769.13214285715,30,219,0,0,13406.062773722628,341.0,2021
43769.13214285715,30,219,0,0,77860.0,253.0,2021
3.0,18,106,0,0,82887.0,390.0,2021
6500.0,22,135,0,0,83490.0,354.0,2021
156459.0,9,141,1,3,7745.0,160.0,2011
229.0,29,200,0,3,7750.0,170.0,2011
270.0,18,51,0,3,7750.0,204.0,2011
152.0,29,200,1,3,7799.0,140.0,2011
170800.0,20,142,1,3,13406.062773722628,90.0,2011
133.0,29,200,1,3,13406.062773722628,5.0,2011
125700.0,9,116,1,3,13406.062773722628,125.0,2011
1.0,29,113,0,3,13406.062773722628,140.0,2011
1100.0,1,25,1,3,13406.062773722628,90.0,2011
1655.0,29,113,0,3,7980.0,122.0,2011
89172.0,11,214,1,3,7980.0,140.0,2011
822.0,-1,9,0,3,13406.062773722628,156.0,2011
8350.0,-1,8,0,3,13406.062773722628,163.0,2011
86875.0,24,36,1,3,13406.062773722628,125.0,2011
69598.0,9,97,1,3,13406.062773722628,135.0,2011
1998.0,2,11,1,3,7999.0,170.0,2011
0.0,24,36,0,3,7999.0,160.0,2011
245.0,1,27,0,3,13406.062773722628,143.0,2011
124500.0,18,23,0,3,80.0,116.0,2011
147.0,29,151,1,3,8200.0,122.0,2011
2842.0,1,27,1,3,8500.0,143.0,2012
0.0,11,231,0,3,8590.0,136.0,2012
77600.0,21,41,1,3,8600.0,140.0,2012
50.0,7,85,1,3,8600.0,5.0,2012
89679.0,28,43,0,3,8690.0,99.0,2012
63.0,30,174,1,3,8800.0,145.0,2012
53400.0,5,56,0,3,8850.0,156.0,2012
99769.0,21,38,1,3,8880.0,163.0,2012
57300.0,29,113,0,3,8900.0,5.0,2012
77500.0,9,53,1,3,8950.0,125.0,2012
340.0,18,89,0,3,8950.0,231.0,2012
53500.0,9,46,1,3,8979.0,90.0,2012
34900.0,9,46,1,3,13406.062773722628,90.0,2012
123559.0,29,155,0,3,13406.062773722628,179.0,2012
92272.0,11,234,1,3,13406.062773722628,135.0,2012
123814.0,29,151,1,3,13406.062773722628,5.0,2012
123814.0,29,152,1,3,13406.062773722628,5.0,2012
42.0,21,137,1,3,13406.062773722628,140.0,2012
79988.0,20,163,1,3,9488.0,117.0,2013
83465.0,9,46,1,3,13406.062773722628,125.0,2013
84367.0,14,67,0,3,9590.0,135.0,2013
116700.0,21,41,0,3,9643.0,140.0,2013
127500.0,25,190,1,3,13406.062773722628,125.0,2013
5.0,29,198,1,3,13406.062773722628,122.0,2013
0.0,4,82,1,3,9700.0,140.0,2013
1700.0,15,77,0,3,9700.0,111.0,2013
43769.13214285715,21,225,0,3,9700.0,165.0,2013
11.0,29,110,1,3,9780.0,5.0,2013
